date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:31	69556/69556	---M-Z	200	added ('OK')	text/html	etag:%2210fb4-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-media-object.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-media-object.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:31	70143/70143	---M-Z	200	added ('OK')	text/html	etag:%22111ff-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-card.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-card.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:31	68574/68574	---M-Z	200	added ('OK')	text/html	etag:%2210bde-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-carousel.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-carousel.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:32	93238/93238	---M-Z	200	added ('OK')	text/html	etag:%2216c36-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-dropdown.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-dropdown.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:32	59710/59710	---M-Z	200	added ('OK')	text/html	etag:%22e93e-5d5a008486880-gzip%22	https://koki.dexignzone.com/xhtml/ui-popover.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-popover.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:32	78226/78226	---M-Z	200	added ('OK')	text/html	etag:%2213192-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-progressbar.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-progressbar.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:32	86849/86849	---M-Z	200	added ('OK')	text/html	etag:%2215341-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-tab.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-tab.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:33	70931/70931	---M-Z	200	added ('OK')	text/html	etag:%2211513-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-typography.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-typography.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:33	75850/75850	---M-Z	200	added ('OK')	text/html	etag:%221284a-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-pagination.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-pagination.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:33	65059/65059	---M-Z	200	added ('OK')	text/html	etag:%22fe23-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-grid.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-grid.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:33	95376/95376	---M-Z	200	added ('OK')	text/html	etag:%2217490-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/uc-select2.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/uc-select2.html	(from https://koki.dexignzone.com/xhtml/index.html)
